--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;044784c76ab7b ;00:36:26
great_hermann;140.57%;2.13%;166.9MiB / 7.667GiB;47.7MB / 4.01MB;12.3MB / 16.7MB;7844784c76ab7b ;00:37:55
great_hermann;141.24%;2.12%;166.3MiB / 7.667GiB;49.2MB / 4.19MB;12.3MB / 16.7MB;7644784c76ab7b ;00:37:57
great_hermann;101.97%;3.03%;238.1MiB / 7.667GiB;50.2MB / 4.33MB;12.3MB / 16.7MB;8344784c76ab7b ;00:37:59
great_hermann;34.15%;2.94%;230.8MiB / 7.667GiB;50.2MB / 4.34MB;12.3MB / 16.7MB;8344784c76ab7b ;00:38:01
great_hermann;25.73%;1.96%;154.1MiB / 7.667GiB;50.4MB / 4.39MB;12.3MB / 16.7MB;7544784c76ab7b ;00:38:03
great_hermann;104.28%;1.98%;155.6MiB / 7.667GiB;51.5MB / 4.48MB;12.3MB / 16.7MB;7544784c76ab7b ;00:38:05
great_hermann;141.91%;2.38%;186.5MiB / 7.667GiB;52.4MB / 4.56MB;12.3MB / 16.7MB;6444784c76ab7b ;00:38:07
great_hermann;125.42%;2.83%;221.8MiB / 7.667GiB;54.5MB / 4.7MB;12.3MB / 16.7MB;8444784c76ab7b ;00:38:09
great_hermann;141.17%;2.91%;228.4MiB / 7.667GiB;56.6MB / 4.88MB;12.3MB / 16.7MB;8344784c76ab7b ;00:38:11
great_hermann;136.92%;1.97%;154.4MiB / 7.667GiB;57.7MB / 5.02MB;12.3MB / 16.7MB;6244784c76ab7b ;00:38:13
great_hermann;52.49%;2.45%;192.6MiB / 7.667GiB;58.6MB / 5.06MB;12.3MB / 16.7MB;8444784c76ab7b ;00:38:15
great_hermann;138.86%;2.41%;189.1MiB / 7.667GiB;60.6MB / 5.24MB;12.3MB / 16.7MB;8244784c76ab7b ;00:38:17
great_hermann;133.23%;2.42%;190.3MiB / 7.667GiB;62.6MB / 5.43MB;12.3MB / 16.7MB;7744784c76ab7b ;00:38:19
