--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;0a47bf81cddc8 ;00:07:11
beautiful_borg;47.40%;3.08%;241.6MiB / 7.667GiB;34.3MB / 2.69MB;16.5MB / 57MB;81a47bf81cddc8 ;00:08:35
beautiful_borg;54.45%;1.78%;139.5MiB / 7.667GiB;34.5MB / 2.75MB;16.5MB / 57MB;74a47bf81cddc8 ;00:08:37
beautiful_borg;74.76%;2.17%;170.3MiB / 7.667GiB;36.5MB / 2.89MB;16.5MB / 57MB;86a47bf81cddc8 ;00:08:39
beautiful_borg;134.66%;1.70%;133.2MiB / 7.667GiB;37.5MB / 3.02MB;16.5MB / 57MB;58a47bf81cddc8 ;00:08:41
beautiful_borg;0.81%;1.82%;142.9MiB / 7.667GiB;37.5MB / 3.03MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:43
beautiful_borg;49.25%;2.03%;159.7MiB / 7.667GiB;39.2MB / 3.15MB;16.5MB / 57MB;78a47bf81cddc8 ;00:08:45
beautiful_borg;94.61%;2.55%;199.9MiB / 7.667GiB;39.8MB / 3.15MB;16.5MB / 57MB;81a47bf81cddc8 ;00:08:47
beautiful_borg;5.76%;1.82%;143MiB / 7.667GiB;39.8MB / 3.19MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:49
beautiful_borg;98.61%;1.80%;141MiB / 7.667GiB;40.8MB / 3.27MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:51
beautiful_borg;45.82%;1.96%;153.7MiB / 7.667GiB;41MB / 3.29MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:53
beautiful_borg;132.40%;1.87%;146.5MiB / 7.667GiB;42.9MB / 3.44MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:55
beautiful_borg;6.22%;1.86%;145.8MiB / 7.667GiB;42.9MB / 3.45MB;16.5MB / 57MB;71a47bf81cddc8 ;00:08:57
beautiful_borg;50.60%;2.10%;165MiB / 7.667GiB;43.3MB / 3.48MB;16.5MB / 57MB;79a47bf81cddc8 ;00:08:59
beautiful_borg;98.00%;2.66%;208.5MiB / 7.667GiB;44.1MB / 3.49MB;16.5MB / 57MB;82a47bf81cddc8 ;00:09:01
beautiful_borg;113.59%;1.83%;144MiB / 7.667GiB;45.2MB / 3.62MB;16.5MB / 57MB;75a47bf81cddc8 ;00:09:03
beautiful_borg;35.78%;2.02%;158.9MiB / 7.667GiB;45.3MB / 3.64MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:05
beautiful_borg;60.63%;2.15%;169MiB / 7.667GiB;47MB / 3.74MB;16.5MB / 57MB;81a47bf81cddc8 ;00:09:07
beautiful_borg;129.61%;1.91%;149.7MiB / 7.667GiB;48.1MB / 3.87MB;16.5MB / 57MB;75a47bf81cddc8 ;00:09:10
beautiful_borg;65.67%;2.14%;168MiB / 7.667GiB;49.6MB / 3.97MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:12
beautiful_borg;15.90%;1.95%;153.5MiB / 7.667GiB;50.2MB / 4.04MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:14
beautiful_borg;128.09%;1.83%;143.9MiB / 7.667GiB;51.3MB / 4.11MB;16.5MB / 57MB;61a47bf81cddc8 ;00:09:16
beautiful_borg;74.99%;2.49%;195.7MiB / 7.667GiB;52.2MB / 4.14MB;16.5MB / 57MB;81a47bf81cddc8 ;00:09:18
beautiful_borg;85.83%;2.00%;157.4MiB / 7.667GiB;53.2MB / 4.3MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:20
beautiful_borg;121.40%;2.79%;218.7MiB / 7.667GiB;55.3MB / 4.45MB;16.5MB / 57MB;85a47bf81cddc8 ;00:09:22
beautiful_borg;136.77%;1.98%;155.7MiB / 7.667GiB;56.5MB / 4.58MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:24
beautiful_borg;77.06%;2.02%;158.7MiB / 7.667GiB;57.5MB / 4.67MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:26
beautiful_borg;151.54%;2.04%;160.5MiB / 7.667GiB;58.6MB / 4.77MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:28
beautiful_borg;137.43%;2.05%;161.2MiB / 7.667GiB;60.7MB / 4.95MB;16.5MB / 57MB;74a47bf81cddc8 ;00:09:30
beautiful_borg;144.69%;1.93%;151.5MiB / 7.667GiB;62.7MB / 5.12MB;16.5MB / 57MB;60a47bf81cddc8 ;00:09:32
beautiful_borg;85.09%;2.06%;162MiB / 7.667GiB;63.7MB / 5.22MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:34
beautiful_borg;89.70%;2.66%;208.6MiB / 7.667GiB;65.7MB / 5.34MB;16.5MB / 57MB;84a47bf81cddc8 ;00:09:36
beautiful_borg;7.09%;2.07%;162.6MiB / 7.667GiB;65.7MB / 5.4MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:38
beautiful_borg;117.72%;2.81%;220.3MiB / 7.667GiB;70.3MB / 5.55MB;16.5MB / 57MB;84a47bf81cddc8 ;00:09:40
beautiful_borg;132.89%;2.67%;209.9MiB / 7.667GiB;72.4MB / 5.75MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:42
beautiful_borg;64.42%;2.08%;163.2MiB / 7.667GiB;73.4MB / 5.88MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:44
beautiful_borg;109.11%;2.86%;224.6MiB / 7.667GiB;74.6MB / 5.93MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:46
beautiful_borg;72.73%;2.09%;164.1MiB / 7.667GiB;75.6MB / 6.07MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:48
beautiful_borg;148.85%;2.11%;165.4MiB / 7.667GiB;76.6MB / 6.16MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:50
beautiful_borg;42.47%;2.22%;173.9MiB / 7.667GiB;76.8MB / 6.18MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:52
beautiful_borg;100.21%;2.74%;214.8MiB / 7.667GiB;78.7MB / 6.28MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:54
beautiful_borg;7.15%;2.10%;164.7MiB / 7.667GiB;78.7MB / 6.33MB;16.5MB / 57MB;73a47bf81cddc8 ;00:09:56
beautiful_borg;142.83%;2.96%;232.6MiB / 7.667GiB;79.9MB / 6.37MB;16.5MB / 57MB;78a47bf81cddc8 ;00:09:58
beautiful_borg;90.83%;2.11%;165.4MiB / 7.667GiB;81MB / 6.51MB;16.5MB / 57MB;73a47bf81cddc8 ;00:10:00
beautiful_borg;115.66%;2.84%;222.8MiB / 7.667GiB;82MB / 6.55MB;16.5MB / 57MB;79a47bf81cddc8 ;00:10:02
beautiful_borg;141.80%;2.70%;212MiB / 7.667GiB;84MB / 6.72MB;16.5MB / 57MB;80a47bf81cddc8 ;00:10:04
beautiful_borg;135.72%;2.70%;211.7MiB / 7.667GiB;86.1MB / 6.9MB;16.5MB / 57MB;79a47bf81cddc8 ;00:10:06
beautiful_borg;6.44%;2.17%;170.8MiB / 7.667GiB;86.1MB / 6.96MB;16.5MB / 57MB;72a47bf81cddc8 ;00:10:08
beautiful_borg;14.55%;2.23%;175.3MiB / 7.667GiB;87.1MB / 7.05MB;16.5MB / 57MB;72a47bf81cddc8 ;00:10:10
beautiful_borg;138.64%;2.46%;192.8MiB / 7.667GiB;88.7MB / 7.16MB;16.5MB / 57MB;77a47bf81cddc8 ;00:10:12
beautiful_borg;141.84%;2.56%;201.1MiB / 7.667GiB;91MB / 7.35MB;16.5MB / 57MB;75a47bf81cddc8 ;00:10:14
beautiful_borg;131.89%;2.29%;180.2MiB / 7.667GiB;92.3MB / 7.51MB;16.5MB / 57MB;72a47bf81cddc8 ;00:10:16
beautiful_borg;118.57%;2.31%;181.6MiB / 7.667GiB;93.4MB / 7.6MB;16.5MB / 57MB;72a47bf81cddc8 ;00:10:18
beautiful_borg;115.74%;3.05%;239.4MiB / 7.667GiB;94.4MB / 7.64MB;16.5MB / 57MB;80a47bf81cddc8 ;00:10:20
beautiful_borg;92.20%;2.33%;182.6MiB / 7.667GiB;95.4MB / 7.77MB;16.5MB / 57MB;72a47bf81cddc8 ;00:10:22
beautiful_borg;131.26%;3.43%;269.4MiB / 7.667GiB;96.5MB / 7.92MB;16.5MB / 57MB;86a47bf81cddc8 ;00:10:24
beautiful_borg;44.45%;3.44%;270.4MiB / 7.667GiB;96.7MB / 7.94MB;16.5MB / 57MB;86a47bf81cddc8 ;00:10:26
beautiful_borg;109.56%;2.85%;223.6MiB / 7.667GiB;97.9MB / 8.02MB;16.5MB / 57MB;82a47bf81cddc8 ;00:10:28
beautiful_borg;144.80%;2.85%;223.7MiB / 7.667GiB;100MB / 8.19MB;16.5MB / 57MB;81a47bf81cddc8 ;00:10:30
beautiful_borg;135.66%;2.80%;219.6MiB / 7.667GiB;102MB / 8.37MB;16.5MB / 57MB;83a47bf81cddc8 ;00:10:32
beautiful_borg;4.01%;2.34%;183.7MiB / 7.667GiB;102MB / 8.43MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:34
beautiful_borg;135.00%;2.22%;174MiB / 7.667GiB;107MB / 8.62MB;16.5MB / 57MB;61a47bf81cddc8 ;00:10:36
beautiful_borg;101.36%;2.52%;198.2MiB / 7.667GiB;108MB / 8.73MB;16.5MB / 57MB;78a47bf81cddc8 ;00:10:38
beautiful_borg;137.12%;2.32%;181.9MiB / 7.667GiB;110MB / 8.88MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:40
beautiful_borg;15.86%;2.41%;189.4MiB / 7.667GiB;110MB / 8.89MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:42
beautiful_borg;110.97%;3.09%;242.8MiB / 7.667GiB;112MB / 9.01MB;16.5MB / 57MB;79a47bf81cddc8 ;00:10:44
beautiful_borg;4.04%;2.36%;185.2MiB / 7.667GiB;112MB / 9.07MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:46
beautiful_borg;20.11%;2.36%;185.1MiB / 7.667GiB;113MB / 9.15MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:48
beautiful_borg;68.62%;2.69%;211MiB / 7.667GiB;114MB / 9.21MB;16.5MB / 57MB;78a47bf81cddc8 ;00:10:50
beautiful_borg;114.00%;2.36%;185.5MiB / 7.667GiB;115MB / 9.33MB;16.5MB / 57MB;74a47bf81cddc8 ;00:10:52
beautiful_borg;172.25%;2.25%;176.3MiB / 7.667GiB;116MB / 9.43MB;16.5MB / 57MB;61a47bf81cddc8 ;00:10:54
beautiful_borg;156.27%;3.57%;280.3MiB / 7.667GiB;117MB / 9.55MB;16.5MB / 57MB;79a47bf81cddc8 ;00:10:56
beautiful_borg;27.77%;3.58%;281.2MiB / 7.667GiB;117MB / 9.57MB;16.5MB / 57MB;78a47bf81cddc8 ;00:10:58
beautiful_borg;39.22%;2.37%;186.4MiB / 7.667GiB;118MB / 9.6MB;16.5MB / 57MB;73a47bf81cddc8 ;00:11:00
beautiful_borg;133.68%;3.20%;251.1MiB / 7.667GiB;119MB / 9.64MB;16.5MB / 57MB;80a47bf81cddc8 ;00:11:02
